Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423810;RT >32t Euro-I;diesel;RT >32t;HGV D Euro-I;929472.625;4.30E-05;38.15382767;38.18579483;38.15419388;2.50834012;2.088922977;2.99855423;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423830;RT >32t Euro-III;diesel;RT >32t;HGV D Euro-III;790419.4375;0.000696347;38.1552124;38.18581009;38.09408569;2.521544218;2.24415946;2.837949276;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1425110;TT/AT >20-28t Euro-I;diesel;TT/AT >20-28t;HGV D Euro-I;646733.8125;0.000163136;38.18534851;38.18581009;38.18458176;1.824849606;1.778595924;1.900868058;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1425130;TT/AT >20-28t Euro-III;diesel;TT/AT >20-28t;HGV D Euro-III;594006.1875;0.003172648;38.18581009;38.18581009;38.18581009;2.159649611;2.17122817;2.176892519;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1425210;TT/AT >28-34t Euro-I;diesel;TT/AT >28-34t;HGV D Euro-I;542260.4375;1.36E-05;38.13226318;38.18563461;38.05693436;2.145125151;1.793346524;2.563398361;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1425230;TT/AT >28-34t Euro-III;diesel;TT/AT >28-34t;HGV D Euro-III;497753.9688;0.000231288;38.16505051;38.18581009;38.13729477;2.322876215;2.132352352;2.547079802;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1425310;TT/AT >34-40t Euro-I;diesel;TT/AT >34-40t;HGV D Euro-I;1579901.125;8.32E-05;38.13783264;38.18572617;38.07258606;2.49958396;2.042083025;3.054482937;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1425330;TT/AT >34-40t Euro-III;diesel;TT/AT >34-40t;HGV D Euro-III;1447086.75;0.004030999;38.14850998;38.18581009;38.07407761;2.665454388;2.402406693;2.977925539;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423110;RT <=7.5t Euro-I;diesel;RT ²7,5t;HGV D Euro-I;790268;0.001992239;12.36620617;12.37195396;12.3548317;3.586855888;3.382133245;3.798745632;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423130;RT <=7.5t Euro-III;diesel;RT ²7,5t;HGV D Euro-III;686009.8125;0.016024211;12.35961056;12.37185574;12.34478378;3.271456003;3.105268955;3.434927702;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423210;RT >7,5-12t Euro-I;diesel;RT >7,5-12t;HGV D Euro-I;1007905.438;0.000396565;12.31116295;12.36195564;12.26998615;3.704768658;3.419914007;3.978719234;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0%;1423230;RT >7,5-12t Euro-III;diesel;RT >7,5-12t;HGV D Euro-III;870967.8125;0.003007169;12.33217525;12.37195396;12.2903595;3.570373535;3.397768497;3.731914997;12.30854416;12.37026978;12.23582363;1.383059025;1.224091887;1.531225443;;;;;;;;
