Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;3.239110947;9.116653442;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,0-1h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;0.786777437;0.108087637;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,0-1h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.000811639;0.108087637;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,1-2h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;1.229977012;0.186517805;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,1-2h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.000990056;0.186517805;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,2-3h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;1.195899367;0.187260941;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,2-3h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.001022469;0.187260941;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,3-4h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;1.238882542;0.193716526;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,3-4h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.001022469;0.193716526;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,4-5h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;1.243998647;0.194356859;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,4-5h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.001026448;0.194356859;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,5-6h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;1.211008072;0.189155221;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,5-6h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.001034489;0.189155221;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,6-7h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;1.177665114;0.183914647;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;NOx;Urban;TØ,6-7h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;-0.001042653;0.183914647;;;;;;
