Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;031;Statistische Region Braunschweig;38;32;6;*;*;*;
;;03241;Region Hannover;21;*;*;*;*;*;
;;03256;Nienburg (Weser);12;12;-;12;-;-;
;;032;Übrige Kreise (Regierungsbezirk);7;*;*;*;*;-;
;;032;Statistische Region Hannover;40;37;3;37;3;*;
;;033;Statistische Region Lüneburg;19;15;4;*;*;-;
;;03456;Grafschaft Bentheim;14;*;*;14;-;-;
;;034;Übrige Kreise (Regierungsbezirk);37;26;11;34;3;-;
;;034;Statistische Region Weser-Ems;51;39;12;48;3;-;
;;03;Niedersachsen;148;123;25;138;10;*;
;;04011;Bremen, Stadt;13;10;3;*;*;-;
;;040;Übrige Kreise (Regierungsbezirk);*;*;*;*;*;-;
;;040;Bremen;14;11;3;*;*;-;
;;04;Bremen;14;11;3;*;*;-;
;;05111;Düsseldorf, Stadt;26;16;10;*;*;-;
;;05113;Essen, Stadt;22;13;9;*;*;-;
;;051;Übrige Kreise (Regierungsbezirk);50;39;11;41;9;-;
;;051;Reg.-Bez. Düsseldorf;98;68;30;85;13;-;
;;05315;Köln, Stadt;20;15;5;*;*;-;
;;05374;Oberbergischer Kreis;15;12;3;15;-;-;
;;05382;Rhein-Sieg-Kreis;10;10;-;10;-;-;
;;053;Übrige Kreise (Regierungsbezirk);26;20;6;23;3;-;
;;053;Reg.-Bez. Köln;71;57;14;67;4;-;
;;05515;Münster, Stadt;11;*;*;*;*;-;
;;05558;Coesfeld;11;*;*;11;-;-;
;;05562;Recklinghausen;11;11;-;11;-;-;
;;055;Übrige Kreise (Regierungsbezirk);25;19;6;*;*;-;
;;055;Reg.-Bez. Münster;58;49;9;55;3;-;
;;05766;Lippe;13;*;*;*;*;-;
;;057;Übrige Kreise (Regierungsbezirk);22;*;*;19;3;*;
;;057;Reg.-Bez. Detmold;35;32;3;31;4;*;
;;059;Reg.-Bez. Arnsberg;50;39;11;44;6;-;
;;05;Nordrhein-Westfalen;312;245;67;282;30;*;
;;06411;Darmstadt, Wissenschaftsstadt;11;6;5;11;-;-;
;;06412;Frankfurt am Main, Stadt;45;32;13;*;*;*;
;;06414;Wiesbaden, Landeshauptstadt;10;7;3;10;-;-;
;;06434;Hochtaunuskreis;16;11;5;16;-;3;
;;06435;Main-Kinzig-Kreis;11;11;-;11;-;-;
;;06436;Main-Taunus-Kreis;17;13;4;17;-;-;
;;06438;Offenbach;19;13;6;19;-;-;
;;064;Übrige Kreise (Regierungsbezirk);35;28;7;*;*;-;
;;064;Reg.-Bez. Darmstadt;164;121;43;161;3;4;
;;06531;Gießen;10;10;-;*;*;*;
;;06532;Lahn-Dill-Kreis;10;6;4;10;-;-;
;;065;Übrige Kreise (Regierungsbezirk);7;*;*;7;-;-;
;;065;Reg.-Bez. Gießen;27;21;6;*;*;*;
;;06611;Kassel, documenta-Stadt;10;*;*;10;-;*;
;;06631;Fulda;10;*;*;10;-;-;
;;06632;Hersfeld-Rotenburg;15;11;4;15;-;*;
;;066;Übrige Kreise (Regierungsbezirk);25;11;14;*;*;-;
;;066;Reg.-Bez. Kassel;60;38;22;*;*;*;
;;06;Hessen;251;180;71;245;6;7;
;;07232;Eifelkreis Bitburg-Prüm;14;6;8;14;-;-;
