Schluessel;Bezeichnung;Wohnort;Männer;Frauen;Deutsche;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;Wohnort gleich Arbeitsort;Einpendler;Auspendler;Zahl der Betriebe;Ahnung;was das ist
1053;Herzogtum Lauenburg;74,216;39,073;35,143;69,637;4,537;1,735;5,313;15,598;47,871;29,466;18,384;44,749;4,725;;
;;;;;;;;;;;;;;;;
1054001;Achtrup;543;284;259;534;9;21;44;126;134;38;96;505;41;;
1054002;Ahrenshöft;196;103;93;193;3;7;15;40;180;14;166;182;15;;
1054003;Ahrenviöl;199;104;95;193;6;7;22;31;77;19;58;180;18;;
1054004;Ahrenviölfeld;68;36;32;*;*;*;3;16;*;*;*;*;*;;
1054005;Alkersum;168;85;83;156;12;6;22;39;156;25;131;143;24;;
1054006;Almdorf;208;108;100;205;3;9;21;39;*;*;*;*;*;;
1054007;Arlewatt;119;69;50;119;;6;16;31;*;3;*;116;*;;
1054009;Aventoft;151;83;68;145;6;5;19;37;122;23;98;128;17;;
1054010;Bargum;214;115;99;214;;11;12;45;42;7;35;207;11;;
1054011;Behrendorf;220;128;92;*;*;14;16;39;134;40;94;180;20;;
1054012;Bohmstedt;278;151;127;274;4;8;18;62;117;18;99;260;20;;
1054013;Bondelum;55;30;25;*;*;5;3;11;*;5;*;50;*;;
1054014;Bordelum;701;359;342;692;9;28;66;137;397;98;299;603;40;;
1054015;Borgsum;141;76;65;134;7;7;9;25;39;12;27;129;13;;
1054016;Bosbüll;83;44;39;79;4;6;3;16;*;*;*;*;*;;
1054017;Braderup;237;123;114;231;6;9;18;41;92;16;76;221;22;;
1054018;Bramstedtlund;70;42;28;*;*;*;10;17;28;8;20;62;8;;
1054019;Bredstedt, Stadt;1,691;883;808;1,611;80;52;163;367;1,658;445;1,213;1,246;187;;
1054020;Breklum;830;423;407;811;19;23;88;196;1,584;146;1,438;684;72;;
1054022;Dagebüll;296;149;147;278;18;9;26;75;238;68;170;228;47;;
1054023;Drage;209;102;107;206;3;9;30;47;86;16;70;193;15;;
1054024;Drelsdorf;502;266;236;498;4;16;50;101;198;52;146;450;34;;
1054025;Dunsum;24;14;10;24;;*;3;6;*;*;*;*;*;;
1054026;Elisabeth-Sophien-Koog;16;6;10;12;4;*;;*;*;6;*;10;*;;
1054027;Ellhöft;32;21;11;32;;;5;7;14;*;*;*;7;;
1054032;Fresendelf;31;21;10;31;;3;3;7;;;;31;;;
1054033;Friedrichstadt, Stadt;745;388;357;692;52;22;72;158;740;212;528;533;97;;
1054034;Friedrich-Wilhelm-Lübke-Koog;63;35;28;*;*;;7;17;37;11;26;52;13;;
1054035;Garding, Kirchspiel;41;20;21;35;6;*;4;9;56;*;*;*;11;;
1054036;Garding, Stadt;1,050;490;560;987;63;24;95;247;707;227;480;823;100;;
1054037;Goldebek;108;61;47;*;*;3;10;23;22;4;18;104;7;;
1054038;Goldelund;154;79;75;*;*;14;21;26;37;16;21;138;15;;
1054039;Gröde;3;3;;3;;;;*;;;;3;;;
1054040;Grothusenkoog;7;*;*;4;3;*;;;*;4;*;3;*;;
1054041;Haselund;385;201;184;385;;20;36;74;327;64;263;321;27;;
1054042;Hattstedt;957;475;482;941;16;35;83;186;267;80;187;877;52;;
1054043;Hattstedtermarsch;96;53;43;90;6;5;8;27;50;3;47;93;7;;
1054045;Högel;147;83;64;*;*;6;12;25;27;12;15;135;12;;
1054046;Hörnum (Sylt);465;243;222;399;66;11;60;78;385;203;182;262;43;;
1054048;Holm;41;22;19;41;;*;4;6;*;;*;41;*;;
1054050;Hallig Hooge;45;24;21;34;11;;6;13;43;29;14;16;17;;
1054052;Horstedt;321;171;150;316;5;14;34;57;121;16;105;305;18;;
1054054;Hude;55;33;22;55;;*;3;16;*;*;*;*;*;;
1054055;Humptrup;260;139;121;253;7;10;21;56;33;9;24;251;14;;
1054056;Husum, Stadt;7,778;3,909;3,869;7,321;454;216;719;1,679;16,460;4,674;11,778;3,104;880;;
1054057;Immenstedt;292;173;119;242;50;12;32;48;27;12;15;280;12;;
1054059;Joldelund;263;131;132;258;5;14;25;44;70;21;49;242;14;;
1054061;Kampen (Sylt);173;90;83;142;31;5;6;33;548;78;469;95;80;;
1054062;Karlum;80;37;43;80;;4;9;20;11;4;7;76;7;;
1054063;Katharinenheerd;68;33;35;*;*;5;*;13;*;;*;68;*;;
1054065;Klanxbüll;443;227;216;414;28;14;31;105;111;24;87;419;13;;
1054068;Klixbüll;355;194;161;340;15;10;31;82;81;22;59;333;16;;
1054070;Koldenbüttel;360;189;171;348;12;17;37;81;31;14;17;346;11;;
1054071;Kolkerheide;24;14;10;*;*;;*;4;*;4;*;20;*;;
1054072;Kotzenbüll;67;35;32;*;*;5;7;12;*;7;*;60;*;;
1054073;Ladelund;470;245;225;462;8;18;49;106;154;50;104;420;32;;
1054074;Langeneß;46;23;23;41;5;*;*;10;26;19;7;27;6;;
1054075;Langenhorn;1,214;638;576;1,192;22;46;141;224;785;245;540;969;105;;
1054076;Leck;2,702;1,379;1,323;2,580;122;105;236;588;2,121;821;1,300;1,881;185;;
1054077;Lexgaard;24;14;10;24;;;5;4;*;*;*;*;*;;
1054078;List auf Sylt;784;406;378;609;175;29;85;135;819;424;391;360;97;;
1054079;Löwenstedt;267;142;125;*;*;14;30;36;88;21;67;246;18;;
1054080;Lütjenholm;114;63;51;111;3;4;7;20;13;5;8;109;9;;
1054083;Midlum;182;87;95;173;9;4;10;30;93;25;68;157;13;;
1054084;Mildstedt;1,392;666;726;1,359;33;50;118;301;679;126;553;1,266;60;;
1054085;Nebel;414;179;235;379;35;11;28;95;445;240;205;174;85;;
1054086;Neukirchen;438;240;198;421;17;15;37;115;209;61;148;377;45;;
1054087;Nieblum;187;94;93;168;19;7;18;38;168;39;129;148;43;;
1054088;Niebüll, Stadt;3,999;2,024;1,975;3,672;326;134;360;791;4,436;1,251;3,183;2,748;388;;
1054089;Norddorf auf Amrum;287;128;159;245;42;14;32;55;395;211;183;76;62;;
1054090;Norderfriedrichskoog;21;11;10;18;3;;;*;91;7;84;14;17;;
