Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423430;RT >14-20t Euro-III;diesel;RT >14-20t;HGV D Euro-III;659932.5;0.001426681;1226782417;1231162453;1222124958;4008446217;3808884382;4256489754;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423510;RT >20-26t Euro-I;diesel;RT >20-26t;HGV D Euro-I;1281293;5.47E-05;1222057247;1232159996;1211082268;614620018;5399373055;6912425518;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423530;RT >20-26t Euro-III;diesel;RT >20-26t;HGV D Euro-III;1103041.25;0.001076686;1231480885;1237195396;1225042534;5715621471;5212129116;6188873291;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423610;RT >26-28t Euro-I;diesel;RT >26-28t;HGV D Euro-I;1136962375;2.33E-06;1221286678;1232230473;1209619141;6494480133;5723263264;7294888973;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423630;RT >26-28t Euro-III;diesel;RT >26-28t;HGV D Euro-III;955644.25;6.03E-05;1230580711;1235531616;1222965908;6149405479;5584481239;6710353851;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423710;RT >28-32t Euro-I;diesel;RT >28-32t;HGV D Euro-I;9900909375;3.23E-05;1221949863;1234231663;1211730194;7342719078;6282362461;8404344559;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423730;RT >28-32t Euro-III;diesel;RT >28-32t;HGV D Euro-III;851132.75;0.000873261;1228621483;1235507679;1221366596;6651491642;5907887459;7357207298;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423810;RT >32t Euro-I;diesel;RT >32t;HGV D Euro-I;929472625;4.30E-05;1221642113;1235109329;1208870697;7752354145;6563135624;8918926239;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423830;RT >32t Euro-III;diesel;RT >32t;HGV D Euro-III;7904194375;0.000696347;1229073715;1235503674;1222607231;7029972076;616763401;7869035721;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1425110;TT/AT >20-28t Euro-I;diesel;TT/AT >20-28t;HGV D Euro-I;6467338125;0.000163136;1232646942;123637104;1228145313;5789453983;5358930111;6267982483;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
