Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
49	15:31:48	15:31:48	15:31:48	15:31:48	15:31:48	15:31:48			15:31:48	15:31:48	15:31:50	15:31:50	15:31:50	15:31:50	15:31:50	15:31:50			15:31:51	15:31:51		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
50	15:31:51	15:31:51	15:31:51	15:31:51	15:31:51	15:31:51	15:31:51	15:31:51	15:31:51	15:31:51	15:31:53	15:31:53	15:31:53	15:31:53	15:31:53	15:31:53	15:31:53	15:31:53	15:31:54	15:31:54		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:01	00:00:02
51	15:31:54	15:31:54	15:31:54	15:31:54	15:31:54	15:31:54			15:31:54	15:31:54	15:31:56	15:31:56	15:31:56	15:31:56	15:31:56	15:31:56			15:31:57	15:31:57		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
52	15:31:57	15:31:57	15:31:57	15:31:57	15:31:57	15:31:57			15:31:57	15:31:57	15:31:59	15:31:59	15:31:59	15:31:59	15:31:59	15:31:59			15:32:00	15:32:00		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
53	15:32:00	15:32:00	15:32:00	15:32:00	15:32:00	15:32:00			15:32:00	15:32:00	15:32:02	15:32:02	15:32:02	15:32:02	15:32:02	15:32:02			15:32:03	15:32:03		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
54	15:32:03	15:32:03	15:32:03	15:32:03	15:32:03	15:32:03			15:32:03	15:32:03	15:32:05	15:32:05	15:32:05	15:32:05	15:32:05	15:32:05			15:32:06	15:32:06		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
55	15:32:06	15:32:06	15:32:06	15:32:06	15:32:06	15:32:06			15:32:06	15:32:06	15:32:08	15:32:08	15:32:08	15:32:08	15:32:08	15:32:08			15:32:09	15:32:09		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
56	15:32:09	15:32:09	15:32:09	15:32:09	15:32:09	15:32:09			15:32:09	15:32:09	15:32:11	15:32:11	15:32:11	15:32:11	15:32:11	15:32:11			15:32:12	15:32:12		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
57	15:32:12	15:32:12	15:32:12	15:32:12	15:32:12	15:32:12			15:32:12	15:32:12	15:32:13	15:32:13	15:32:13	15:32:13	15:32:13	15:32:13			15:32:14	15:32:14		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
58	15:32:14	15:32:14	15:32:14	15:32:14	15:32:14	15:32:14			15:32:14	15:32:14	15:32:16	15:32:16	15:32:16	15:32:16	15:32:16	15:32:16			15:32:17	15:32:17		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
